inf,inf,inf,5.215725096714682877e+04,inf,3.435598242092583328e+07
inf,inf,inf,4.506046207422697626e+04,inf,3.404121134210541099e+07
inf,inf,inf,3.270356084423030188e+04,inf,3.381944506453857571e+07
8.817936814884814620e+07,inf,inf,4.872956423445793916e+04,inf,3.400615804053880274e+07
inf,inf,inf,3.638589498514473962e+04,inf,3.357088224380917847e+07
9.601702156514903763e+05,inf,inf,4.211071663784453995e+04,1.703167435183312893e+08,3.348309539635159448e+07
2.814525075919763767e+05,inf,inf,3.417703596642169578e+04,inf,3.329418566199627891e+07
1.235807863152556238e+05,inf,inf,4.173536366537401045e+04,1.528771863286750019e+08,3.305445473804078251e+07
8.625639061484616832e+04,inf,inf,4.020103920104732970e+04,inf,3.305036740697017312e+07
6.661505547929793829e+04,inf,inf,4.129426681121306319e+04,1.359591570740239322e+08,3.297534084189162403e+07
