inf,9.003296517524419352e+06,7.348999466180886422e-05,1.109272406583735639e-02,inf,inf,inf,inf,inf,inf
inf,3.112620847196642426e+05,7.085861584457050499e-01,4.270919850169889833e+04,inf,inf,inf,inf,inf,inf
inf,7.480089397856734195e+02,6.823806666519314749e+05,inf,9.969016580850375249e+03,1.888787114745869534e+06,inf,inf,inf,inf
inf,inf,inf,inf,inf,4.851751724642712506e+05,9.175181927042840049e+06,inf,inf,inf
inf,inf,inf,inf,inf,inf,1.155364512426841818e+07,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
