inf,9.011240276155071333e+06,6.105908961989650379e+03,5.760864142352081217e+03,inf,inf,inf,inf,inf,inf
inf,3.211474886489713099e+05,7.092982976801360564e+03,4.943473052786939661e+04,inf,inf,inf,inf,inf,inf
inf,1.217516469202159169e+04,6.903678145707014482e+05,inf,1.616428469221086198e+04,1.894850953414507676e+06,inf,inf,inf,inf
inf,inf,inf,inf,inf,4.917721574456216767e+05,9.181399858481904492e+06,inf,inf,inf
inf,inf,inf,inf,inf,inf,1.156034707294803485e+07,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
